"","token","n"
"1","break heart",101
"2","come home",99
"3","long long",96
"4","go go",95
"5","come true",92
"6","time time",82
"7","go home",81
"8","dream come",75
"9","hold tight",66
"10","long go",66
"11","right right",63
"12","go long",60
"13","long time",53
"14","sing song",52
"15","come come",50
"16","zinga zinga",48
"17","know know",47
"18","raindrops raindrops",46
"19","home go",43
"20","everyday everyday",42
"21","good morning",42
"22","hold hand",42
"23","blue blue",41
"24","tonight tonight",41
"25","leave leave",40
"26","kiss kiss",39
"27","fool fool",37
"28","little miss",37
"29","true true",37
"30","darling darling",36
"31","hold hold",36
"32","yeah yeah",36
"33","fine romance",34
"34","miss miss",33
"35","snow snow",33
"36","baby baby",32
"37","basta basta",32
"38","go away",32
"39","money venezuela",32
"40","ready ready",32
"41","world hand",32
"42","feel like",30
"43","hand hand",30
"44","heart break",30
"45","good good",29
"46","talkin bout",29
"47","winter wonderland",29
"48","go leave",28
"49","hold close",28
"50","know go",28
"51","need break",28
"52","baby come",27
"53","flea brain",27
"54","haul away",27
"55","need need",27
"56","sing sing",27
"57","swing sweet",27
"58","zoom zoom",27
"59","black black",26
"60","hold arm",26
"61","leave blue",26
"62","live life",26
"63","santa comin",26
"64","time go",26
"65","bring bring",25
"66","giggle shout",25
"67","goodnight goodnight",25
"68","hand world",25
"69","heave away",25
"70","jump giggle",25
"71","miss little",25
"72","rhythm blue",25
"73","walk walk",25
"74","angeliqueo angeliqueo",24
"75","battle jericho",24
"76","bell ring",24
"77","cause leave",24
"78","comin comin",24
"79","ding dong",24
"80","heart sing",24
"81","shout jump",24
"82","sing blue",24
"83","sing come",24
"84","sweet dream",24
"85","away away",23
"86","baby leave",23
"87","deep heart",23
"88","feel feel",23
"89","look like",23
"90","night night",23
"91","sweet come",23
"92","babababoo babababoo",22
"93","blue hound",22
"94","death death",22
"95","dream dream",22
"96","heart belong",22
"97","home swing",22
"98","know heart",22
"99","little girl",22
"100","tear eye",22
"101","whatcha gonna",22
"102","deep inside",21
"103","love love",21
"104","remember remember",21
"105","sleep sleep",21
"106","smile face",21
"107","song sing",21
"108","world world",21
"109","deep deep",20
"110","get eye",20
"111","lips kiss",20
"112","night time",20
"113","nothin better",20
"114","say blue",20
"115","smoke get",20
"116","steal heart",20
"117","time forget",20
"118","time think",20
"119","walk winter",20
"120","want want",20
"121","arm hold",19
"122","baby go",19
"123","beticha beticha",19
"124","days go",19
"125","evil evil",19
"126","feel rhythm",19
"127","funny funny",19
"128","heart know",19
"129","leave baby",19
"130","little baby",19
"131","long live",19
"132","night long",19
"133","say goodbye",19
"134","believe believe",18
"135","belong daddy",18
"136","blue right",18
"137","deep blue",18
"138","hear whisper",18
"139","heart heart",18
"140","heart tell",18
"141","lover lover",18
"142","pity fool",18
"143","play game",18
"144","prelude kiss",18
"145","rhythm tonight",18
"146","right time",18
"147","september rain",18
"148","stay stay",18
"149","take heart",18
"150","teach things",18
"151","tear apart",18
"152","think think",18
"153","turn turn",18
"154","wind blow",18
"155","world know",18
"156","write check",18
"157","better better",17
"158","better watch",17
"159","blue moon",17
"160","break dream",17
"161","comin home",17
"162","completely sweet",17
"163","feel heart",17
"164","go like",17
"165","goodbye goodbye",17
"166","home come",17
"167","honky tonk",17
"168","leave throne",17
"169","life live",17
"170","little fool",17
"171","oleanna oleanna",17
"172","sky blue",17
"173","tell know",17
"174","things lack",17
"175","time change",17
"176","true baby",17
"177","word hear",17
"178","blue suede",16
"179","color packay",16
"180","come hear",16
"181","days days",16
"182","dream little",16
"183","hear music",16
"184","heart away",16
"185","heart want",16
"186","hound hound",16
"187","know time",16
"188","little dream",16
"189","llaman superman",16
"190","miss go",16
"191","packay llaman",16
"192","píntame color",16
"193","play play",16
"194","shin bright",16
"195","suede shoe",16
"196","surrender dear",16
"197","sweet sweet",16
"198","time know",16
"199","wanna home",16
"200","better watchin",15
"201","blow wind",15
"202","blue night",15
"203","cause know",15
"204","cheat heart",15
"205","come like",15
"206","count bless",15
"207","finger finger",15
"208","go right",15
"209","heart beat",15
"210","kiss sweet",15
"211","know leave",15
"212","late late",15
"213","light wanna",15
"214","mint julep",15
"215","ocean tear",15
"216","shadow fall",15
"217","sing like",15
"218","thing call",15
"219","wonderful things",15
"220","angels sing",14
"221","ashore hallelujah",14
"222","baby know",14
"223","blue sky",14
"224","boat ashore",14
"225","close eye",14
"226","come sing",14
"227","comin santa",14
"228","dong ding",14
"229","feel right",14
"230","fool fall",14
"231","fool yeah",14
"232","forget remember",14
"233","goodnight sweetheart",14
"234","hear word",14
"235","jericho jericho",14
"236","know true",14
"237","love know",14
"238","mind mind",14
"239","party party",14
"240","play sweet",14
"241","poor little",14
"242","run away",14
"243","save seat",14
"244","sleep night",14
"245","stay away",14
"246","stay go",14
"247","sweet baby",14
"248","sweet embraceable",14
"249","sweeter wine",14
"250","things happen",14
"251","time baby",14
"252","time come",14
"253","tiny ocean",14
"254","tonight feel",14
"255","true darlin",14
"256","write rhyme",14
"257","away blue",13
"258","baby mean",13
"259","break need",13
"260","build house",13
"261","fall fall",13
"262","feel blue",13
"263","grow accustom",13
"264","grow cold",13
"265","hallelujah boat",13
"266","hear voice",13
"267","heart grow",13
"268","kiss lips",13
"269","know forget",13
"270","know gonna",13
"271","know long",13
"272","know want",13
"273","life song",13
"274","like like",13
"275","little little",13
"276","look eye",13
"277","march march",13
"278","morning heartache",13
"279","poor heart",13
"280","pretty good",13
"281","pretty ready",13
"282","raise ruckus",13
"283","rest life",13
"284","right hand",13
"285","ruckus tonight",13
"286","save save",13
"287","somebody somebody",13
"288","song come",13
"289","spring spring",13
"290","superman píntame",13
"291","whistle blow",13
"292","world today",13
"293","worry write",13
"294","young dream",13
"295","angeliqueo mama",12
"296","angeliqueo teach",12
"297","away go",12
"298","away haul",12
"299","away santy",12
"300","baby tonight",12
"301","blue eye",12
"302","blue lonely",12
"303","break hearted",12
"304","bucket hole",12
"305","change change",12
"306","come baby",12
"307","come tumblin",12
"308","contain sample",12
"309","dear lord",12
"310","dream heart",12
"311","fake patois",12
"312","feel pain",12
"313","fine music",12
"314","go miss",12
"315","grave hold",12
"316","hang head",12
"317","happen everyday",12
"318","hardwood floor",12
"319","heart soul",12
"320","heaven know",12
"321","hold body",12
"322","hosanna build",12
"323","kiss hold",12
"324","know come",12
"325","know little",12
"326","know think",12
"327","leave heart",12
"328","lips want",12
"329","long baby",12
"330","mama angeliqueo",12
"331","mighty fine",12
"332","music mighty",12
"333","rhyme write",12
"334","right go",12
"335","santy anno",12
"336","song go",12
"337","spot like",12
"338","strange things",12
"339","till hear",12
"340","time religion",12
"341","tonk hardwood",12
"342","walk away",12
"343","baby like",11
"344","blow away",11
"345","bout mean",11
"346","breathe heavy",11
"347","cause take",11
"348","certain party",11
"349","come know",11
"350","come time",11
"351","darling know",11
"352","devil deep",11
"353","everyday blue",11
"354","go world",11
"355","gonna sing",11
"356","gonna whatcha",11
"357","good time",11
"358","head like",11
"359","hear angels",11
"360","hear song",11
"361","heart dream",11
"362","heart feel",11
"363","hold fast",11
"364","jericho wall",11
"365","know mean",11
"366","know need",11
"367","leave know",11
"368","live easy",11
"369","live long",11
"370","long night",11
"371","moments like",11
"372","mood indigo",11
"373","need help",11
"374","phone line",11
"375","pretty baby",11
"376","right mama",11
"377","right wrong",11
"378","say know",11
"379","sleepless night",11
"380","sleigh bell",11
"381","spend life",11
"382","take advantage",11
"383","tell tell",11
"384","think know",11
"385","throw away",11
"386","time tell",11
"387","want hear",11
"388","watch better",11
"389","whoa whoa",11
"390","woman thing",11
"391","wonderful time",11
"392","wonderful wonderful",11
"393","zing boom",11
"394","zinga zing",11
"395","accustom face",10
"396","ache heart",10
"397","better pout",10
"398","black white",10
"399","blue days",10
"400","brain flea",10
"401","brand flava",10
"402","bring home",10
"403","build snowman",10
"404","burn burn",10
"405","change life",10
"406","check worry",10
"407","cold cold",10
"408","come night",10
"409","come right",10
"410","corn long",10
"411","daddy daddy",10
"412","dear hold",10
"413","delightful delicious",10
"414","doodley squat",10
"415","dream leave",10
"416","easy live",10
"417","fall apart",10
"418","fall like",10
"419","flyin gettin",10
"420","forever true",10
"421","gettin flyin",10
"422","go know",10
"423","gonna smile",10
"424","good song",10
"425","hand little",10
"426","hear say",10
"427","heart ache",10
"428","heart free",10
"429","heaven nature",10
"430","julep mint",10
"431","jump jump",10
"432","kiss sweeter",10
"433","know baby",10
"434","know dream",10
"435","know right",10
"436","know soon",10
"437","leave long",10
"438","like turkey",10
"439","lips warm",10
"440","little darling",10
"441","lonely time",10
"442","long face",10
"443","long jamas",10
"444","look heart",10
"445","loove loove",10
"446","lovely weather",10
"447","meadow build",10
"448","miss wrong",10
"449","money money",10
"450","music play",10
"451","nature sing",10
"452","open door",10
"453","open open",10
"454","pity pity",10
"455","play tune",10
"456","rain time",10
"457","right start",10
"458","shame shame",10
"459","sleigh ride",10
"460","spring fever",10
"461","star shine",10
"462","sweet lovely",10
"463","tear tiny",10
"464","tell heart",10
"465","tender kiss",10
"466","thrill go",10
"467","tomorrow night",10
"468","true know",10
"469","turkey corn",10
"470","turn away",10
"471","venezuela everybody",10
"472","vive roll",10
"473","wall come",10
"474","wanna wanna",10
"475","want know",10
"476","weather sleigh",10
"477","whip whip",10
"478","whisper wind",10
"479","white snow",10
"480","wrong right",10
"481","wrong wrong",10
"482","baby hand",9
"483","baby night",9
"484","better place",9
"485","blue heart",9
"486","bopalena bopalena",9
"487","breathe breathe",9
"488","burn heart",9
"489","cause come",9
"490","charm want",9
"491","croon croon",9
"492","crumble gibraltar",9
"493","darling heart",9
"494","darn darn",9
"495","days like",9
"496","dear little",9
"497","dear mother",9
"498","deep purple",9
"499","dream young",9
"500","egg basket",9
"501","face face",9
"502","face music",9
"503","fade away",9
"504","fall asleep",9
"505","fell fell",9
"506","gamble game",9
"507","gently home",9
"508","gibraltar tumble",9
"509","gonna walk",9
"510","goodbye little",9
"511","head walk",9
"512","heart like",9
"513","heart start",9
"514","heart stay",9
"515","hold head",9
"516","home blue",9
"517","house build",9
"518","house hosanna",9
"519","hurry home",9
"520","inside heart",9
"521","keepin mischief",9
"522","know care",9
"523","know good",9
"524","know hear",9
"525","know pass",9
"526","know tell",9
"527","know wonder",9
"528","lead gently",9
"529","leak build",9
"530","leave eye",9
"531","leave fall",9
"532","like break",9
"533","like know",9
"534","like want",9
"535","like young",9
"536","lips lips",9
"537","lonely heart",9
"538","lonely teardrops",9
"539","look look",9
"540","lord send",9
"541","lovin livin",9
"542","lullaby birdland",9
"543","mean maybe",9
"544","mellow tone",9
"545","moment moment",9
"546","moonglow blue",9
"547","morning life",9
"548","naughty baby",9
"549","night pray",9
"550","open eye",9
"551","open heart",9
"552","people know",9
"553","play blue",9
"554","ready pretty",9
"555","ready will",9
"556","right blue",9
"557","rockies crumble",9
"558","roll roll",9
"559","room room",9
"560","round vacancy",9
"561","simple life",9
"562","slap bass",9
"563","sleepy time",9
"564","slowly fall",9
"565","snowman pretend",9
"566","somebody hurt",9
"567","sound like",9
"568","spring hear",9
"569","stand watch",9
"570","story tell",9
"571","sweet girl",9
"572","sweet kiss",9
"573","swing swing",9
"574","take away",9
"575","tear come",9
"576","tear fall",9
"577","tear hide",9
"578","teardrops start",9
"579","tell care",9
"580","tell feel",9
"581","tell right",9
"582","tell trouble",9
"583","thing know",9
"584","ticket blue",9
