"","bigram","n"
"1","yeah yeah",410
"2","go go",366
"3","time time",351
"4","feel feel",280
"5","feel like",241
"6","sing song",237
"7","right right",236
"8","long long",234
"9","know know",223
"10","feel good",211
"11","sweet sweet",206
"12","come home",200
"13","woman woman",200
"14","long time",199
"15","break heart",198
"16","baby baby",195
"17","away away",194
"18","hold hold",186
"19","money money",181
"20","live live",173
"21","come come",157
"22","leave leave",157
"23","life life",157
"24","good time",150
"25","hold tight",126
"26","ghetto ghetto",124
"27","fall fall",120
"28","night long",119
"29","fade away",117
"30","right wrong",117
"31","home home",116
"32","fight fight",115
"33","sing sing",115
"34","song sing",115
"35","stand stand",114
"36","talkin bout",114
"37","good good",109
"38","live life",109
"39","night night",108
"40","know feel",107
"41","believe believe",103
"42","lover lover",102
"43","walk away",100
"44","come true",99
"45","lonely lonely",99
"46","time go",93
"47","tonight tonight",92
"48","go away",91
"49","cold cold",90
"50","change mind",87
"51","dead dead",87
"52","look like",86
"53","mind mind",86
"54","remember remember",86
"55","close eye",85
"56","somebody somebody",85
"57","time leave",85
"58","dream come",84
"59","world world",83
"60","blue blue",82
"61","hold hand",82
"62","ready ready",82
"63","holy holy",81
"64","late late",81
"65","throw away",81
"66","time know",81
"67","fool fool",80
"68","time come",80
"69","dream dream",78
"70","go home",77
"71","real real",76
"72","change change",74
"73","hurt hurt",74
"74","roll roll",74
"75","know time",73
"76","wait wait",73
"77","baby know",72
"78","bring bring",71
"79","cry cry",71
"80","goodbye goodbye",71
"81","play game",70
"82","slip away",69
"83","know gonna",68
"84","need need",68
"85","alright alright",67
"86","party party",67
"87","cause know",66
"88","know true",66
"89","leave time",66
"90","hear voice",64
"91","know right",64
"92","lyric commercial",64
"93","true true",64
"94","deep inside",63
"95","good feelin",63
"96","love love",63
"97","want money",63
"98","know come",62
"99","right night",62
"100","wrong right",62
"101","crash crash",61
"102","good feel",61
"103","know go",61
"104","talk bout",61
"105","walk walk",61
"106","want know",61
"107","blow away",60
"108","heart know",60
"109","want want",60
"110","wind blow",59
"111","away know",58
"112","gonna gonna",58
"113","lonely nights",58
"114","tear tear",58
"115","time long",58
"116","wish wish",58
"117","break break",57
"118","heart break",56
"119","come baby",55
"120","life go",55
"121","saturday night",55
"122","feelin good",54
"123","game play",54
"124","head head",54
"125","hide hide",54
"126","time right",54
"127","change world",53
"128","time good",53
"129","hand hand",52
"130","look eye",52
"131","make feel",52
"132","money want",52
"133","away leave",51
"134","hold head",51
"135","life know",51
"136","play play",51
"137","time think",51
"138","change life",50
"139","little girl",50
"140","think time",50
"141","away home",49
"142","best friend",49
"143","know mean",49
"144","look look",49
"145","music play",49
"146","know want",48
"147","life easy",48
"148","feel pain",47
"149","good know",47
"150","know leave",47
"151","know wrong",47
"152","life live",47
"153","little luck",47
"154","want come",47
"155","years years",47
"156","come go",46
"157","feel right",46
"158","hold close",46
"159","know need",46
"160","like know",46
"161","think know",46
"162","comin home",45
"163","go know",45
"164","gonna change",45
"165","like like",45
"166","open eye",45
"167","time change",45
"168","whoa whoa",45
"169","hear call",44
"170","hide away",44
"171","mind time",44
"172","music music",44
"173","open door",44
"174","time tell",44
"175","baby come",43
"176","go smoke",43
"177","sing songs",43
"178","suffer suffer",43
"179","time life",43
"180","touch touch",43
"181","waste time",43
"182","world go",43
"183","yeah know",43
"184","better days",42
"185","good morning",42
"186","hear sing",42
"187","reason reason",42
"188","sing blue",42
"189","smile away",42
"190","sweet dream",42
"191","take away",42
"192","home go",41
"193","take time",41
"194","takin takin",41
"195","think life",41
"196","time feel",41
"197","time gonna",41
"198","want stay",41
"199","bring home",40
"200","cause go",40
"201","early morning",40
"202","evil woman",40
"203","morning come",40
"204","stay stay",40
"205","steal steal",40
"206","strong strong",40
"207","tell tell",40
"208","world live",40
"209","come time",39
"210","live world",39
"211","long night",39
"212","run away",39
"213","stay away",39
"214","sweet home",39
"215","baby go",38
"216","baby lonely",38
"217","days go",38
"218","heart heart",38
"219","high time",38
"220","know life",38
"221","know like",38
"222","leave home",38
"223","little little",38
"224","lose lose",38
"225","night time",38
"226","open heart",38
"227","roll right",38
"228","tear apart",38
"229","tear fall",38
"230","come like",37
"231","grow grow",37
"232","know long",37
"233","lonely baby",37
"234","love know",37
"235","real good",37
"236","sleep night",37
"237","spend time",37
"238","stay time",37
"239","tear eye",37
"240","turn turn",37
"241","woman evil",37
"242","women bleed",37
"243","away smile",36
"244","baby want",36
"245","dead alive",36
"246","feel know",36
"247","go change",36
"248","lonely night",36
"249","right tonight",36
"250","wait long",36
"251","away go",35
"252","breath away",35
"253","hear music",35
"254","hide backstreets",35
