"","word","n"
"1","dream come true",72
"2","go go go",53
"3","raindrops raindrops raindrops",45
"4","go home go",40
"5","home go home",40
"6","long long long",40
"7","darling darling darling",27
"8","everyday everyday everyday",27
"9","zinga zinga zinga",27
"10","jump giggle shout",25
"11","long go long",25
"12","miss little miss",25
"13","right right right",25
"14","giggle shout jump",24
"15","long long time",24
"16","basta basta basta",23
"17","little miss little",23
"18","sweet come home",23
"19","swing sweet come",23
"20","hand world hand",22
"21","rhythm blue hound",22
"22","go long go",21
"23","ready ready ready",21
"24","tonight tonight tonight",21
"25","black black black",20
"26","come home swing",20
"27","shout jump giggle",20
"28","smoke get eye",20
"29","walk winter wonderland",20
"30","death death death",18
"31","goodnight goodnight goodnight",18
"32","heart belong daddy",18
"33","hold hold hold",18
"34","time time time",18
"35","zoom zoom zoom",18
"36","cause leave throne",17
"37","teach things lack",17
"38","blue suede shoe",16
"39","color packay llaman",16
"40","feel rhythm tonight",16
"41","fool fool fool",16
"42","lover lover lover",16
"43","packay llaman superman",16
"44","pã­ntame color packay",16
"45","snow snow snow",16
"46","true true true",16
"47","beticha beticha beticha",15
"48","leave leave leave",15
"49","light wanna home",15
"50","nothin better watchin",15
"51","yeah yeah yeah",15
"52","babababoo babababoo babababoo",14
"53","boat ashore hallelujah",14
"54","come home come",14
"55","comin santa comin",14
"56","ding dong ding",14
"57","dong ding dong",14
"58","home come home",14
"59","know go go",14
"60","santa comin santa",14
"61","tiny ocean tear",14
"62","go long long",13
"63","good morning heartache",13
"64","hallelujah boat ashore",13
"65","home swing sweet",13
"66","kiss kiss kiss",13
"67","long time forget",13
"68","need break need",13
"69","poor little fool",13
"70","raise ruckus tonight",13
"71","sleep sleep sleep",13
"72","superman pã­ntame color",13
"73","tonight feel rhythm",13
"74","worry write rhyme",13
"75","angeliqueo angeliqueo mama",12
"76","angeliqueo angeliqueo teach",12
"77","angeliqueo mama angeliqueo",12
"78","angeliqueo teach things",12
"79","away haul away",12
"80","away santy anno",12
"81","come sing come",12
"82","comin comin comin",12
"83","deep deep deep",12
"84","dream little dream",12
"85","grave hold body",12
"86","haul away haul",12
"87","heave away santy",12
"88","honky tonk hardwood",12
"89","hosanna build house",12
"90","hound hound hound",12
"91","long time go",12
"92","mama angeliqueo angeliqueo",12
"93","march march march",12
"94","mighty fine music",12
"95","music mighty fine",12
"96","rhyme write check",12
"97","rhythm tonight tonight",12
"98","sing come sing",12
"99","strange things happen",12
"100","things happen everyday",12
"101","tonight tonight feel",12
"102","tonk hardwood floor",12
"103","true true baby",12
"104","write rhyme write",12
"105","battle jericho wall",11
"106","devil deep blue",11
"107","gonna whatcha gonna",11
"108","hear angels sing",11
"109","llaman superman pã­ntame",11
"110","mind mind mind",11
"111","sing sing sing",11
"112","talkin bout mean",11
"113","whatcha gonna whatcha",11
"114","world hand world",11
"115","zinga zing boom",11
"116","zinga zinga zing",11
"117","better better pout",10
"118","better watch better",10
"119","blue blue blue",10
"120","break need break",10
"121","cause take advantage",10
"122","check worry write",10
"123","come come come",10
"124","corn long go",10
"125","finger finger finger",10
"126","flea brain flea",10
"127","gettin flyin gettin",10
"128","go like turkey",10
"129","heaven nature sing",10
"130","jericho wall come",10
"131","julep mint julep",10
"132","kiss sweeter wine",10
"133","leave baby leave",10
"134","like turkey corn",10
"135","little miss wrong",10
"136","live easy live",10
"137","long go like",10
"138","lovely weather sleigh",10
"139","meadow build snowman",10
"140","mint julep mint",10
"141","money venezuela everybody",10
"142","ocean tear tiny",10
"143","oleanna oleanna oleanna",10
"144","right right mama",10
"145","steal heart away",10
"146","tear tiny ocean",10
"147","turkey corn long",10
"148","wall come tumblin",10
"149","watch better better",10
"150","weather sleigh ride",10
"151","write check worry",10
"152","angels sing come",9
"153","baby baby baby",9
"154","brain flea brain",9
"155","bring bring bring",9
"156","build house hosanna",9
"157","build snowman pretend",9
"158","charm want arm",9
"159","come come home",9
"160","crumble gibraltar tumble",9
"161","days days days",9
"162","everyday everyday blue",9
"163","funny funny funny",9
"164","goodbye goodbye goodbye",9
"165","home swing swing",9
"166","house hosanna build",9
"167","lead gently home",9
"168","miss go miss",9
"169","miss miss go",9
"170","naughty baby come",9
"171","party party party",9
"172","pretty good song",9
"173","rockies crumble gibraltar",9
