"","word","n"
"1","know",6291
"2","like",5844
"3","time",4707
"4","come",4207
"5","away",3251
"6","yeah",3171
"7","life",3121
"8","feel",3054
"9","go",2934
"10","cause",2815
"11","want",2730
"12","live",2502
"13","leave",2456
"14","right",2325
"15","heart",2197
"16","think",2187
"17","tell",2097
"18","baby",2031
"19","gonna",2001
"20","need",1917
"21","break",1905
"22","fall",1861
"23","world",1860
"24","look",1838
"25","hold",1824
"26","long",1691
"27","fuck",1683
"28","night",1675
"29","good",1666
"30","mind",1638
"31","hear",1605
"32","wanna",1553
"33","say",1489
"34","home",1440
"35","hand",1388
"36","head",1368
"37","lose",1343
"38","believe",1319
"39","walk",1258
"40","eye",1253
"41","better",1251
"42","dream",1213
"43","little",1203
"44","stand",1159
"45","turn",1142
"46","play",1140
"47","change",1119
"48","girl",1106
"49","things",1102
"50","stay",1095
"51","inside",1059
"52","face",1049
"53","sing",1042
"54","shit",994
"55","start",983
"56","stop",973
"57","place",960
"58","people",948
"59","take",942
"60","word",924
"61","bring",879
"62","kill",871
"63","hard",841
"64","thing",818
"65","money",807
"66","tonight",806
"67","give",803
"68","days",802
"69","gotta",800
"70","wait",797
"71","tear",796
"72","wish",795
"73","get",793
"74","light",780
"75","bitch",776
"76","wrong",769
"77","fight",750
"78","mean",748
"79","try",747
"80","soul",742
"81","song",724
"82","forget",710
"83","burn",708
"84","talk",707
"85","watch",707
"86","remember",706
"87","sleep",689
"88","black",686
"89","blue",661
"90","miss",661
"91","pain",658
"92","true",647
"93","real",636
"94","make",631
"95","line",630
"96","today",624
"97","high",611
"98","love",611
"99","dead",610
"100","open",607
"101","nigga",606
"102","beat",605
"103","save",601
"104","cold",587
"105","lonely",586
"106","hell",583
"107","sweet",581
"108","blood",580
"109","sound",577
"110","care",567
"111","free",567
"112","hide",560
"113","game",557
"114","work",553
"115","party",547
"116","best",538
"117","breathe",538
"118","hurt",538
"119","roll",538
"120","listen",520
"121","call",513
"122","forever",508
"123","lie",508
"124","everybody",504
"125","grind",503
"126","shoot",503
"127","see",502
"128","close",499
"129","music",499
"130","bout",496
"131","step",490
"132","niggas",487
"133","learn",486
"134","kiss",477
"135","matter",475
"136","fear",474
"137","ready",468
"138","grow",460
"139","hate",456
"140","help",454
"141","alive",449
"142","lord",447
"143","smile",447
"144","rain",443
"145","white",443
"146","dance",441
"147","drink",441
"148","body",440
"149","damn",439
"150","door",438
"151","strong",438
"152","maybe",431
"153","run",427
"154","till",427
"155","pull",426
"156","morning",425
"157","drop",419
"158","die",414
"159","catch",413
"160","throw",413
"161","woman",412
"162","truth",410
"163","blow",409
"164","smoke",409
"165","touch",408
"166","understand",406
"167","wall",406
"168","fool",403
"169","keep",399
"170","follow",395
"171","reason",392
"172","ride",390
"173","fade",388
"174","arm",387
"175","pass",384
"176","cry",383
"177","deep",383
"178","write",383
"179","alright",381
"180","promise",381
"181","waste",377
"182","years",377
"183","death",375
"184","young",373
"185","late",372
"186","control",371
"187","road",367
"188","begin",365
"189","house",361
"190","check",358
"191","sure",357
"192","bleed",355
"193","speak",355
"194","goodbye",353
"195","wind",353
"196","friends",351
"197","round",348
"198","spend",345
"199","voice",343
"200","tire",340
"201","scar",335
"202","wonder",335
"203","crazy",334
"204","shake",333
"205","scream",330
"206","tomorrow",327
"207","dark",326
"208","apart",324
"209","somebody",324
"210","stick",323
"211","lyric",317
"212","goin",315
"213","reach",314
"214","soon",314
"215","drive",313
"216","friend",310
"217","star",310
"218","breath",307
"219","moment",305
"220","past",305
"221","livin",304
"222","pray",304
"223","rest",304
"224","feet",303
"225","piece",302
"226","devil",301
"227","guess",300
"228","kick",300
"229","rise",299
"230","straight",298
"231","room",296
"232","city",292
"233","nothin",291
"234","choose",289
"235","hearts",289
"236","sick",288
"237","thank",288
"238","blame",287
"239","easy",286
"240","gettin",286
"241","hang",286
"242","kind",286
"243","commercial",285
"244","floor",285
"245","bear",282
"246","lookin",282
"247","ring",280
"248","trust",280
"249","blind",278
"250","afraid",277
"251","water",277
"252","heaven",276
"253","plan",273
"254","lead",271
"255","send",270
"256","cross",269
"257","mouth",267
"258","yesterday",267
"259","read",266
"260","tight",266
"261","pick",264
"262","talkin",261
"263","street",259
"264","couldn",258
"265","tryin",258
"266","beautiful",257
"267","fine",254
"268","girls",254
"269","shine",252
"270","wear",252
"271","happen",251
"272","push",250
"273","flow",248
"274","skin",247
"275","stone",244
"276","fast",243
"277","club",240
"278","laugh",240
"279","raise",240
"280","comin",239
"281","sell",239
"282","shut",239
"283","belong",235
"284","clear",234
"285","build",233
"286","bone",232
"287","finger",228
"288","picture",227
"289","dear",225
"290","move",225
"291","slow",225
"292","steal",225
"293","second",224
"294","lock",223
"295","streets",223
"296","kid",222
"297","land",222
"298","earth",220
"299","peace",220
"300","search",220
"301","block",218
"302","doin",216
"303","different",215
"304","felt",214
"305","sign",214
"306","slip",214
"307","brain",212
"308","everyday",212
"309","million",212
"310","count",210
"311","end",210
"312","fake",210
"313","meet",210
"314","pretty",210
"315","whoa",209
"316","anymore",208
"317","summer",208
"318","ways",207
"319","wouldn",207
"320","knees",206
"321","memories",206
"322","slowly",206
"323","phone",205
"324","teach",205
"325","hole",203
"326","dirty",202
"327","mistake",202
"328","realize",202
"329","knock",201
"330","half",200
"331","swear",199
"332","taste",199
"333","finally",198
"334","thoughts",198
"335","cool",196
"336","fuckin",196
"337","lips",196
"338","moon",196
"339","feelin",195
"340","freak",195
"341","gold",195
"342","ones",195
"343","wasn",195
"344","bless",194
"345","mother",194
"346","outside",194
"347","radio",194
"348","mess",192
"349","style",191
"350","deal",190
"351","rhyme",189
"352","school",189
"353","share",189
"354","answer",187
"355","mama",186
"356","ghost",185
"357","jump",185
"358","point",185
"359","tryna",185
"360","window",185
"361","children",182
"362","simple",182
"363","worry",182
"364","boys",181
"365","future",181
"366","crawl",179
"367","band",178
"368","forgive",178
"369","power",178
"370","songs",178
"371","woah",178
"372","brother",177
"373","hop",177
"374","trouble",176
"375","loud",175
"376","shame",175
"377","ball",174
"378","sight",174
"379","chain",173
"380","child",173
"381","sense",173
"382","tree",173
"383","okay",172
"384","single",172
"385","repeat",171
"386","shin",171
"387","somethin",170
"388","outta",169
"389","track",168
"390","father",167
"391","babe",166
"392","dont",166
"393","memory",165
"394","great",164
"395","longer",164
"396","space",164
"397","wild",164
"398","someday",163
"399","survive",163
"400","welcome",163
"401","babylon",162
"402","closer",162
"403","fill",162
"404","cover",161
"405","doubt",161
"406","paint",161
"407","sorry",161
"408","fell",160
"409","darling",159
"410","drown",159
"411","hood",159
"412","year",159
"413","bury",158
"414","ladies",157
"415","nights",157
"416","number",157
"417","pride",157
"418","rule",157
"419","minute",156
"420","paper",156
"421","pay",156
"422","awake",155
"423","evil",155
"424","hair",155
"425","tongue",155
"426","show",154
"427","bottle",153
"428","family",153
"429","oooh",153
"430","warm",153
"431","grab",150
"432","nice",150
"433","crack",148
"434","darkness",148
"435","fame",148
"436","spit",148
"437","force",147
"438","perfect",147
"439","record",147
"440","story",147
"441","train",147
"442","bang",144
"443","fail",144
"444","let",144
"445","sink",144
"446","state",144
"447","wave",144
"448","hoe",143
"449","crowd",142
"450","soldier",141
"451","swing",141
"452","bend",140
"453","color",140
"454","fresh",139
"455","weed",139
"456","wide",139
"457","clean",138
"458","shots",138
"459","makin",137
"460","race",137
"461","runnin",137
"462","sit",137
"463","youth",137
"464","cloud",136
"465","grave",136
"466","question",136
"467","bust",135
"468","fee",135
"469","remain",135
"470","ask",134
"471","cash",134
"472","wake",134
"473","middle",133
"474","neck",133
"475","weak",133
"476","escape",131
"477","lean",130
"478","near",130
"479","pussy",130
"480","warn",130
"481","motherfucker",129
"482","shoe",129
"483","silence",129
"484","daddy",128
"485","lay",128
"486","shout",128
"487","figure",127
"488","gun",127
"489","higher",127
"490","pump",127
"491","suffer",127
"492","thousand",127
"493","fact",126
"494","flame",126
"495","treat",126
"496","wicked",126
"497","fly",125
"498","heal",125
"499","pretend",125
"500","safe",125
"501","bite",124
"502","clock",124
"503","crash",124
"504","freeze",124
"505","luck",124
"506","spring",124
"507","drug",123
"508","river",123
"509","wing",123
"510","book",122
"511","human",122
"512","lady",122
"513","suck",122
"514","waan",122
"515","echo",121
