"","unigram","n"
"1","know",5134
"2","like",4715
"3","time",4276
"4","come",3905
"5","feel",2764
"6","heart",2687
"7","life",2578
"8","go",2510
"9","away",2466
"10","cause",2451
"11","want",2371
"12","yeah",2364
"13","live",2202
"14","baby",2127
"15","right",2033
"16","leave",2003
"17","think",1903
"18","world",1789
"19","night",1720
"20","tell",1705
"21","need",1701
"22","look",1639
"23","break",1632
"24","fall",1553
"25","gonna",1528
"26","mind",1468
"27","hear",1425
"28","hold",1421
"29","good",1420
"30","long",1384
"31","say",1325
"32","dream",1253
"33","believe",1243
"34","eye",1227
"35","wanna",1203
"36","walk",1179
"37","fuck",1165
"38","little",1160
"39","head",1158
"40","hand",1157
"41","change",1109
"42","stand",1031
"43","lose",1024
"44","start",1015
"45","turn",1014
"46","home",1011
"47","play",1011
"48","better",1006
"49","take",999
"50","tear",978
"51","inside",977
"52","things",958
"53","stay",948
"54","face",917
"55","blue",892
"56","place",892
"57","black",862
"58","bring",832
"59","love",818
"60","people",818
"61","word",813
"62","girl",811
"63","remember",801
"64","gotta",795
"65","sing",779
"66","shit",761
"67","stop",750
"68","real",747
"69","give",746
"70","light",722
"71","soul",711
"72","thing",700
"73","cold",698
"74","hard",680
"75","tonight",672
"76","pain",671
"77","true",654
"78","dead",648
"79","watch",646
"80","make",644
"81","sweet",642
"82","kiss",626
"83","mean",625
"84","hurt",621
"85","fool",614
"86","wait",609
"87","wish",606
"88","money",604
"89","days",595
"90","woman",588
"91","forget",587
"92","today",586
"93","wrong",586
"94","get",583
"95","try",582
"96","lonely",579
"97","song",574
"98","nigga",551
"99","close",549
"100","fight",544
"101","talk",543
"102","burn",536
"103","forever",527
"104","niggas",526
"105","touch",513
"106","sleep",512
"107","miss",503
"108","rain",500
"109","bitch",497
"110","care",494
"111","free",492
"112","high",491
"113","kill",488
"114","lie",482
"115","game",478
"116","fear",475
"117","hide",475
"118","hate",467
"119","line",467
"120","learn",466
"121","call",465
"122","cry",464
"123","arm",463
"124","sound",461
"125","open",458
"126","promise",458
"127","years",454
"128","beat",453
"129","deep",447
"130","blood",445
"131","door",444
"132","music",441
"133","strong",438
"134","work",436
"135","hell",434
"136","lord",433
"137","smile",432
"138","matter",430
"139","help",429
"140","save",426
"141","ready",424
"142","shoot",421
"143","grow",419
"144","best",410
"145","listen",409
"146","bout",404
"147","follow",404
"148","morning",404
"149","blow",401
"150","goodbye",397
"151","dance",395
"152","till",395
"153","wall",394
"154","see",392
"155","step",391
"156","throw",388
"157","roll",386
"158","understand",381
"159","friend",380
"160","somebody",377
"161","maybe",375
"162","body",374
"163","reason",371
"164","thank",360
"165","check",359
"166","catch",357
"167","sure",357
"168","truth",354
"169","smoke",351
"170","keep",343
"171","run",343
"172","white",343
"173","party",337
"174","die",334
"175","guess",332
"176","spend",330
"177","waste",328
"178","wind",328
"179","apart",326
"180","wonder",326
"181","afraid",324
"182","pray",322
"183","sick",321
"184","speak",321
"185","death",320
"186","friends",320
"187","begin",316
"188","pull",315
"189","everybody",312
"190","road",312
"191","tomorrow",310
"192","build",309
"193","dark",308
"194","kick",307
"195","devil",305
"196","rest",304
"197","house",299
"198","alright",298
"199","crazy",296
"200","grind",296
"201","pass",296
"202","blind",293
"203","ride",292
"204","young",292
"205","land",290
"206","peace",290
"207","reach",290
"208","bear",287
"209","fade",285
"210","late",285
"211","water",285
"212","share",283
"213","send",282
"214","hang",279
"215","laugh",278
"216","steal",278
"217","soon",277
"218","skin",274
"219","couldn",270
"220","damn",270
"221","trust",270
"222","drop",269
"223","moment",268
"224","nothin",268
"225","darling",266
"226","alive",265
"227","bone",264
"228","drive",264
"229","hearts",264
"230","straight",264
"231","comin",262
"232","flow",262
"233","feet",260
"234","goin",260
"235","heaven",259
"236","memories",259
"237","star",257
"238","past",254
"239","kind",253
"240","memory",251
"241","room",251
"242","whoa",246
"243","write",245
"244","pride",244
"245","round",243
"246","blame",242
"247","stick",242
"248","fine",241
"249","shame",241
"250","tire",241
"251","drink",239
"252","belong",236
"253","ways",234
"254","brother",232
"255","search",232
"256","teach",232
"257","voice",232
"258","breath",230
"259","earth",228
"260","control",227
"261","pick",227
"262","power",227
"263","rhyme",227
"264","scream",226
"265","street",225
"266","wear",225
"267","moon",224
"268","easy",223
"269","livin",223
"270","cool",221
"271","cross",221
"272","shake",220
"273","piece",219
"274","scar",219
"275","sell",219
"276","near",217
"277","plan",211
"278","feelin",208
"279","future",208
"280","knees",208
"281","brain",205
"282","repeat",205
"283","someday",205
"284","worry",205
"285","swing",204
"286","doubt",203
"287","read",201
"288","window",201
"289","style",200
"290","talkin",200
"291","great",199
"292","picture",199
"293","ring",199
"294","floor",198
"295","human",197
"296","slip",196
"297","tight",196
"298","radio",195
"299","lead",194
"300","lover",194
"301","nice",192
"302","child",191
"303","happen",191
"304","nights",191
"305","fast",189
"306","summer",189
"307","dirty",188
"308","show",188
"309","breathe",187
"310","anymore",186
"311","lookin",185
"312","mama",185
"313","different",183
"314","heal",183
"315","mother",182
"316","mouth",182
"317","children",180
"318","lyric",180
"319","move",180
"320","choose",179
"321","clear",178
"322","slow",178
"323","hole",177
"324","outside",177
"325","sense",177
"326","river",176
"327","ball",175
"328","lock",175
"329","story",175
"330","band",174
"331","felt",174
"332","count",173
"333","meet",171
"334","tree",171
"335","cover",170
"336","gettin",170
"337","end",169
"338","evil",169
"339","finger",169
"340","gold",169
"341","city",168
"342","daddy",168
"343","dear",168
"344","doin",168
"345","half",168
"346","point",167
"347","rise",167
"348","bless",166
"349","crawl",166
"350","push",166
"351","trouble",166
"352","block",165
"353","brand",165
"354","drown",165
"355","stone",164
"356","swear",164
"357","streets",163
"358","bleed",162
"359","everyday",162
"360","year",162
"361","million",161
"362","wasn",161
"363","wouldn",161
"364","simple",160
"365","thoughts",160
"366","train",160
"367","dust",159
"368","tryin",159
"369","twist",159
"370","yesterday",159
"371","fell",158
"372","rule",158
"373","sign",157
